tag,threshold,balanced_accuracy,positive_rate
ensemble_avg_top3,0.28499999999999975,0.6356681807315323,0.8073529411764706
ensemble_avg_top3,0.28599999999999975,0.6334209897202965,0.8044117647058824
ensemble_avg_top3,0.28699999999999976,0.6334209897202965,0.8044117647058824
ensemble_avg_top3,0.28799999999999976,0.6355486492947645,0.8029411764705883
ensemble_avg_top3,0.28899999999999976,0.6354291178579967,0.7985294117647059
ensemble_avg_top3,0.28999999999999976,0.6343055223523787,0.7970588235294118
ensemble_avg_top3,0.29099999999999976,0.6343055223523787,0.7970588235294118
ensemble_avg_top3,0.29199999999999976,0.6385608415013149,0.7941176470588235
ensemble_avg_top3,0.29299999999999976,0.6385608415013149,0.7941176470588235
ensemble_avg_top3,0.29399999999999976,0.640688501075783,0.7926470588235294
ensemble_avg_top3,0.29499999999999976,0.6395649055701649,0.7911764705882353
ensemble_avg_top3,0.29599999999999976,0.6395649055701649,0.7911764705882353
ensemble_avg_top3,0.29699999999999976,0.641692565144633,0.7897058823529411
ensemble_avg_top3,0.29799999999999977,0.641692565144633,0.7897058823529411
ensemble_avg_top3,0.29899999999999977,0.6426966292134831,0.7867647058823529
ensemble_avg_top3,0.29999999999999977,0.6448242887879512,0.7852941176470588
ensemble_avg_top3,0.30099999999999977,0.6448242887879512,0.7852941176470588
ensemble_avg_top3,0.30199999999999977,0.6447047573511834,0.7808823529411765
ensemble_avg_top3,0.30299999999999977,0.6447047573511834,0.7808823529411765
ensemble_avg_top3,0.30399999999999977,0.6447047573511834,0.7808823529411765
ensemble_avg_top3,0.30499999999999977,0.6447047573511834,0.7808823529411765
ensemble_avg_top3,0.30599999999999977,0.6468324169256514,0.7794117647058824
ensemble_avg_top3,0.3069999999999998,0.6457088214200335,0.7779411764705882
ensemble_avg_top3,0.3079999999999998,0.6467128854888836,0.775
ensemble_avg_top3,0.3089999999999997,0.6488405450633516,0.7735294117647059
ensemble_avg_top3,0.3099999999999997,0.6465933540521157,0.7705882352941177
ensemble_avg_top3,0.3109999999999997,0.6464738226153478,0.7661764705882353
ensemble_avg_top3,0.3119999999999997,0.648601482189816,0.7647058823529411
ensemble_avg_top3,0.3129999999999997,0.648601482189816,0.7647058823529411
ensemble_avg_top3,0.3139999999999997,0.6528568013387521,0.7617647058823529
ensemble_avg_top3,0.3149999999999997,0.6517332058331341,0.7602941176470588
ensemble_avg_top3,0.3159999999999997,0.6538608654076021,0.7588235294117647
ensemble_avg_top3,0.3169999999999997,0.6558689935453024,0.7529411764705882
ensemble_avg_top3,0.3179999999999997,0.6579966531197705,0.7514705882352941
ensemble_avg_top3,0.31899999999999973,0.6622519722687067,0.7485294117647059
ensemble_avg_top3,0.31999999999999973,0.6622519722687067,0.7485294117647059
ensemble_avg_top3,0.32099999999999973,0.6632560363375568,0.7455882352941177
ensemble_avg_top3,0.32199999999999973,0.6632560363375568,0.7455882352941177
ensemble_avg_top3,0.32299999999999973,0.665383695912025,0.7441176470588236
ensemble_avg_top3,0.32399999999999973,0.665383695912025,0.7441176470588236
ensemble_avg_top3,0.32499999999999973,0.6642601004064068,0.7426470588235294
ensemble_avg_top3,0.32599999999999973,0.6642601004064068,0.7426470588235294
ensemble_avg_top3,0.32699999999999974,0.6695194836241931,0.736764705882353
ensemble_avg_top3,0.32799999999999974,0.6716471431986613,0.7352941176470589
ensemble_avg_top3,0.32899999999999974,0.6737748027731293,0.7338235294117647
ensemble_avg_top3,0.32999999999999974,0.6726512072675114,0.7323529411764705
ensemble_avg_top3,0.33099999999999974,0.6726512072675114,0.7323529411764705
ensemble_avg_top3,0.33199999999999974,0.6726512072675114,0.7323529411764705
ensemble_avg_top3,0.33299999999999974,0.6715276117618934,0.7308823529411764
ensemble_avg_top3,0.33399999999999974,0.6736552713363615,0.7294117647058823
