blend_name,models,weights,method,oof_bal_acc,best_threshold,test_pos_rate,changed_vs_anchor,diff_pct_vs_anchor,file_path
wavg_ensemble_avg_top3_ensemble_stacking_lr_ensemble_avg_top5_logreg_full_catboost_B_2_full_allseeds,ensemble_avg_top3|ensemble_stacking_lr|ensemble_avg_top5|logreg_full|catboost_B_2_full_allseeds,0.00|0.00|0.60|0.30|0.10,weighted_avg,0.7838154434616305,0.5849999999999995,0.36363636363636365,1,0.022727272727272728,
wavg_ensemble_avg_top3_ensemble_avg_top5_logreg_full,ensemble_avg_top3|ensemble_avg_top5|logreg_full,0.05|0.55|0.40,weighted_avg,0.7838154434616305,0.5989999999999995,0.36363636363636365,1,0.022727272727272728,
wavg_ensemble_avg_top3_ensemble_stacking_lr_ensemble_avg_top5_logreg_full,ensemble_avg_top3|ensemble_stacking_lr|ensemble_avg_top5|logreg_full,0.10|0.10|0.40|0.40,weighted_avg,0.7838154434616305,0.6039999999999995,0.36363636363636365,1,0.022727272727272728,
wavg_ensemble_avg_top3_ensemble_avg_top5_logreg_full,ensemble_avg_top3|ensemble_avg_top5|logreg_full,0.00|0.60|0.40,weighted_avg,0.7838154434616305,0.5959999999999995,0.36363636363636365,1,0.022727272727272728,
wavg_ensemble_avg_top3_ensemble_stacking_lr_ensemble_threshold_vote_logreg_full,ensemble_avg_top3|ensemble_stacking_lr|ensemble_threshold_vote|logreg_full,0.22|0.22|0.11|0.44,weighted_avg,0.7838154434616305,0.6049999999999995,0.36363636363636365,1,0.022727272727272728,
wavg_ensemble_avg_top5_logreg_full,ensemble_avg_top5|logreg_full,0.60|0.40,weighted_avg,0.7838154434616305,0.5959999999999995,0.36363636363636365,1,0.022727272727272728,
wavg_ensemble_avg_top3_logreg_full_catboost_B_2_full_allseeds,ensemble_avg_top3|logreg_full|catboost_B_2_full_allseeds,0.00|0.60|0.40,weighted_avg,0.7838154434616305,0.6099999999999995,0.36363636363636365,1,0.022727272727272728,
wavg_ensemble_stacking_lr_ensemble_avg_top5_logreg_full,ensemble_stacking_lr|ensemble_avg_top5|logreg_full,0.05|0.45|0.50,weighted_avg,0.7836959120248626,0.6179999999999994,0.36363636363636365,1,0.022727272727272728,
wavg_ensemble_stacking_lr_ensemble_threshold_vote_logreg_full,ensemble_stacking_lr|ensemble_threshold_vote|logreg_full,0.30|0.20|0.50,weighted_avg,0.7836959120248626,0.6129999999999995,0.36363636363636365,1,0.022727272727272728,
wavg_ensemble_avg_top3_ensemble_stacking_lr_ensemble_avg_top5_ensemble_threshold_vote_logreg_full,ensemble_avg_top3|ensemble_stacking_lr|ensemble_avg_top5|ensemble_threshold_vote|logreg_full,0.27|0.00|0.27|0.09|0.36,weighted_avg,0.7836959120248626,0.6049999999999995,0.36363636363636365,1,0.022727272727272728,
wavg_ensemble_stacking_lr_ensemble_avg_top5_logreg_full,ensemble_stacking_lr|ensemble_avg_top5|logreg_full,0.00|0.55|0.45,weighted_avg,0.7836959120248626,0.6109999999999995,0.36363636363636365,1,0.022727272727272728,
wavg_ensemble_avg_top3_ensemble_stacking_lr_ensemble_threshold_vote_logreg_full,ensemble_avg_top3|ensemble_stacking_lr|ensemble_threshold_vote|logreg_full,0.09|0.36|0.09|0.45,weighted_avg,0.7836959120248626,0.6079999999999995,0.36363636363636365,1,0.022727272727272728,
